File,Minor,Major,Total,Ownership,Bugs
URLUtilTest.java,45.0,1.0,46.0,1.0,0.0
TestSortDocValues.java,46.0,0.0,46.0,0.42857143,1.0
Range.java,45.0,1.0,46.0,0.8333333,1.0
TestICUTokenizer.java,45.0,1.0,46.0,0.6956522,3.0
Snapshot.java,45.0,1.0,46.0,1.0,0.0
DocsEnum.java,46.0,0.0,46.0,0.35714287,0.0
QueryNodeImpl.java,46.0,0.0,46.0,0.4375,2.0
BaseNonFuzzySpatialOpStrategyTest.java,45.0,1.0,46.0,0.6666667,0.0
AnalyticsQuery.java,45.0,1.0,46.0,1.0,0.0
TestSchemaResource.java,44.0,2.0,46.0,0.5,0.0
CollectingDocumentLoader.java,45.0,1.0,46.0,0.75,0.0
MergeIndexesCommand.java,46.0,0.0,46.0,0.25,0.0
SortedIntSet.java,46.0,0.0,46.0,0.2857143,0.0
ParallelTaxonomyArrays.java,45.0,1.0,46.0,0.8,1.0
TestSmallFloat.java,46.0,0.0,46.0,0.30769232,1.0
TestReusableStringReader.java,45.0,1.0,46.0,1.0,1.0
SegmenterTest.java,44.0,2.0,46.0,0.5,0.0
SamplingWrapperTest.java,46.0,0.0,46.0,0.45454547,0.0
ZkOperation.java,44.0,2.0,46.0,0.5,0.0
FieldCollectionResource.java,45.0,1.0,46.0,0.54545456,0.0
WordBreakTestUnicode_6_1_0.java,45.0,1.0,46.0,0.6666667,0.0
SamplingWrapper.java,45.0,1.0,46.0,0.53333336,2.0
SepDocValuesConsumer.java,46.0,0.0,46.0,0.3846154,1.0
TestRuleNoInstanceHooksOverrides.java,46.0,0.0,46.0,0.33333334,0.0
FieldConfig.java,46.0,0.0,46.0,0.375,0.0
TestHighlightDedupGrouping.java,45.0,1.0,46.0,0.6666667,0.0
ByteBlockPool.java,46.0,0.0,46.0,0.27272728,1.0
RecordingUpdateProcessorFactory.java,45.0,1.0,46.0,1.0,0.0
CSVConfigGuesser.java,46.0,0.0,46.0,0.42857143,0.0
MockConfigurableSimilarity.java,45.0,1.0,46.0,0.71428573,0.0
ICUTransformFilterFactory.java,45.0,1.0,46.0,0.5833333,3.0
SearchFiles.java,45.0,1.0,46.0,0.5,4.0
Test03Distance.java,45.0,1.0,46.0,0.54545456,1.0
CategoryListParamsTest.java,45.0,1.0,46.0,0.54545456,0.0
DirectUpdateHandlerTest.java,46.0,0.0,46.0,0.28,1.0
TestBooleanQuery.java,46.0,0.0,46.0,0.41025642,6.0
NoStaticHooksShadowing.java,45.0,1.0,46.0,1.0,0.0
TestNIOFSDirectory.java,45.0,1.0,46.0,1.0,0.0
BlockSkipWriter.java,45.0,1.0,46.0,0.71428573,3.0
TestIndexableBinaryStringTools.java,45.0,1.0,46.0,0.53333336,0.0
SolrInputField.java,46.0,0.0,46.0,0.27272728,0.0
KeepWordFilterFactory.java,46.0,0.0,46.0,0.4090909,7.0
TernaryTree.java,45.0,1.0,46.0,0.73333335,3.0
GroupDocs.java,45.0,1.0,46.0,0.5714286,1.0
TaxonomyMergeUtils.java,45.0,1.0,46.0,0.5263158,5.0
TestDynamicFieldCollectionResource.java,45.0,1.0,46.0,1.0,0.0
CopyField.java,46.0,0.0,46.0,0.33333334,0.0
DbLock.java,45.0,1.0,46.0,1.0,0.0
SrndBooleanQuery.java,45.0,1.0,46.0,0.625,0.0
FormatPostingsFieldsWriter.java,44.0,2.0,46.0,0.5,0.0
LegacyHTMLStripCharFilterTest.java,46.0,0.0,46.0,0.44444445,1.0
TestRecyclingByteBlockAllocator.java,46.0,0.0,46.0,0.4,0.0
FieldInfosFormat.java,45.0,1.0,46.0,0.5,0.0
TestDocument.java,46.0,0.0,46.0,0.4090909,11.0
CrankyStoredFieldsFormat.java,45.0,1.0,46.0,1.0,3.0
SolrCellBuilder.java,45.0,1.0,46.0,0.7777778,0.0
OverseerSolrResponse.java,45.0,1.0,46.0,1.0,0.0
DataOutput.java,46.0,0.0,46.0,0.29411766,3.0
MoreLikeThisParams.java,46.0,0.0,46.0,0.4,0.0
